date,ticker_leg1,ticker_leg2,value,spread,year,delivery_date,days_to_delivery
2018-10-26,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.4390010833739986,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,979
2018-10-27,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.4390010833739986,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,978
2018-10-28,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.4390010833739986,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,977
2018-10-29,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.4659996032714986,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,976
2018-10-30,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.444999694824201,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,975
2018-10-31,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.4619998931884979,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,974
2018-11-01,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.4409999847412003,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,973
2018-11-02,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.4409999847412998,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,972
2018-11-03,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.4409999847412998,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,971
2018-11-04,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.4409999847412998,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,970
2018-11-05,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.4409999847412003,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,969
2018-11-06,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.4409999847411967,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,968
2018-11-07,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.4089984893799006,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,967
2018-11-08,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.4740009307861008,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,966
2018-11-09,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.4680004119873011,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,965
2018-11-10,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.4680004119873011,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,964
2018-11-11,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.4680004119873011,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,963
2018-11-12,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.4849987030030007,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,962
2018-11-13,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.4050006866456002,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,961
2018-11-14,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.4049987792968004,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,960
2018-11-15,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.4050006866455007,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,959
2018-11-16,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.4570007324218004,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,958
2018-11-17,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.4570007324218004,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,957
2018-11-18,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.4570007324218004,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,956
2018-11-19,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.4710006713866974,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,955
2018-11-20,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.4570007324218999,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,954
2018-11-21,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.4570007324218999,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,953
